% Daily baseline values on the 08A scale
% Created 10-Jul-2016 08:38:45
%
% The CO2 data here are daily baseline averages.  The file contains all
% valid readings, with missing values denoted by NaN.  The data used to
% calculate the daily averages have been screened to eliminate local
% influences, such as the impacts of downslope vegetation  or volcanic
% fumaroles, on the record.
%
% We provide these data primarily for the users interested in subweekly or
% finer-scale variability. For users interested primarily in longer-term
% variability, we recommend using standard weekly or monthly products which
% are more authoritative on these longer time scales.  The standard weekly and
% monthly products are located at:
%
% http://scrippsco2.ucsd.edu/data/atmospheric_co2/
%
% Further details on these this high resolution dataset can be found in the
% technical report:
%
% Walker, S. J., R. F. Keeling and S. C. Piper
% (2016). Reconstruction of the Mauna Loa Carbon Dioxide Record using
% High Frequency APC Data from 1958 through 2004. La Jolla, California,
% Scripps Institution of Oceanography: 1-17.
%
%
%
% Yr    - Year
% Mn    - Month
% Dy    - Day
% CO2   - CO2 baseline value
% NB    - Number of hourly averages in the baseline
% scale - Calibration scale code
%
% Yr, Mn, Dy,    CO2, NB, scale
1958, 07, 03,    NaN,  0, 8.1
1958, 07, 04,    NaN,  0, 8.1
1958, 07, 05,    NaN,  0, 8.1
1958, 07, 06,    NaN,  0, 8.1
1958, 07, 07,    NaN,  0, 8.1
1958, 07, 08, 315.84,  6, 8.1
1958, 07, 09,    NaN,  0, 8.1
1958, 07, 10,    NaN,  0, 8.1
1958, 07, 11,    NaN,  0, 8.1
1958, 07, 12,    NaN,  0, 8.1
1958, 07, 13,    NaN,  0, 8.1
1958, 07, 14, 316.22,  8, 8.1
1958, 07, 15, 316.43, 17, 8.1
1958, 07, 16, 314.55,  6, 8.1
1958, 07, 17, 314.56,  5, 8.1
1958, 07, 18,    NaN,  0, 8.1
1958, 07, 19, 315.50, 11, 8.1
1958, 07, 20, 316.04,  8, 8.1
1958, 07, 21,    NaN,  0, 8.1
1958, 07, 22,    NaN,  0, 8.1
1958, 07, 23, 315.90,  1, 8.1
1958, 07, 24, 316.09,  6, 8.1
1958, 07, 25,    NaN,  0, 8.1
1958, 07, 26, 315.25,  6, 8.1
1958, 07, 27, 315.61, 13, 8.1
1958, 07, 28, 315.50,  8, 8.1
1958, 07, 29,    NaN,  0, 8.1
1958, 07, 30, 315.74,  7, 8.1
1958, 07, 31, 315.76,  7, 8.1
1958, 08, 01,    NaN,  0, 8.1
1958, 08, 02,    NaN,  0, 8.1
1958, 08, 03,    NaN,  0, 8.1
1958, 08, 04, 315.29, 13, 8.1
1958, 08, 05, 315.49,  5, 8.1
1958, 08, 06, 315.54, 15, 8.1
1958, 08, 07, 314.78, 12, 8.1
1958, 08, 08,    NaN,  0, 8.1
1958, 08, 09,    NaN,  0, 8.1
1958, 08, 10, 314.46,  1, 8.1
1958, 08, 11, 314.60,  8, 8.1
1958, 08, 12, 314.99,  9, 8.1
1958, 08, 13, 314.82,  8, 8.1
1958, 08, 14, 315.08,  5, 8.1
1958, 08, 15, 315.27,  8, 8.1
1958, 08, 16,    NaN,  0, 8.1
1958, 08, 17,    NaN,  0, 8.1
1958, 08, 18,    NaN,  0, 8.1
1958, 08, 19,    NaN,  0, 8.1
1958, 08, 20,    NaN,  0, 8.1
1958, 08, 21,    NaN,  0, 8.1
1958, 08, 22,    NaN,  0, 8.1
1958, 08, 23,    NaN,  0, 8.1
1958, 08, 24,    NaN,  0, 8.1
1958, 08, 25,    NaN,  0, 8.1
1958, 08, 26,    NaN,  0, 8.1
1958, 08, 27,    NaN,  0, 8.1
1958, 08, 28,    NaN,  0, 8.1
1958, 08, 29,    NaN,  0, 8.1
1958, 08, 30,    NaN,  0, 8.1
1958, 08, 31,    NaN,  0, 8.1
1958, 09, 01, 314.27, 13, 8.1
1958, 09, 02, 313.03,  7, 8.1
1958, 09, 03,    NaN,  0, 8.1
1958, 09, 04,    NaN,  0, 8.1
1958, 09, 05,    NaN,  0, 8.1
1958, 09, 06,    NaN,  0, 8.1
1958, 09, 07,    NaN,  0, 8.1
1958, 09, 08,    NaN,  0, 8.1
1958, 09, 09,    NaN,  0, 8.1
1958, 09, 10,    NaN,  0, 8.1
1958, 09, 11,    NaN,  0, 8.1
1958, 09, 12,    NaN,  0, 8.1
1958, 09, 13,    NaN,  0, 8.1
1958, 09, 14,    NaN,  0, 8.1
1958, 09, 15,    NaN,  0, 8.1
1958, 09, 16,    NaN,  0, 8.1
1958, 09, 17,    NaN,  0, 8.1
1958, 09, 18,    NaN,  0, 8.1
1958, 09, 19,    NaN,  0, 8.1
1958, 09, 20,    NaN,  0, 8.1
1958, 09, 21,    NaN,  0, 8.1
1958, 09, 22,    NaN,  0, 8.1
1958, 09, 23,    NaN,  0, 8.1
1958, 09, 24,    NaN,  0, 8.1
1958, 09, 25,    NaN,  0, 8.1
1958, 09, 26,    NaN,  0, 8.1
1958, 09, 27,    NaN,  0, 8.1
1958, 09, 28,    NaN,  0, 8.1
1958, 09, 29,    NaN,  0, 8.1
1958, 09, 30,    NaN,  0, 8.1
1958, 10, 01,    NaN,  0, 8.1
1958, 10, 02,    NaN,  0, 8.1
1958, 10, 03,    NaN,  0, 8.1
1958, 10, 04,    NaN,  0, 8.1
1958, 10, 05,    NaN,  0, 8.1
1958, 10, 06,    NaN,  0, 8.1
1958, 10, 07,    NaN,  0, 8.1
1958, 10, 08,    NaN,  0, 8.1
1958, 10, 09,    NaN,  0, 8.1
1958, 10, 10,    NaN,  0, 8.1
1958, 10, 11,    NaN,  0, 8.1
1958, 10, 12,    NaN,  0, 8.1
1958, 10, 13,    NaN,  0, 8.1
1958, 10, 14,    NaN,  0, 8.1
1958, 10, 15,    NaN,  0, 8.1
1958, 10, 16,    NaN,  0, 8.1
1958, 10, 17,    NaN,  0, 8.1
1958, 10, 18,    NaN,  0, 8.1
1958, 10, 19,    NaN,  0, 8.1
1958, 10, 20,    NaN,  0, 8.1
1958, 10, 21,    NaN,  0, 8.1
1958, 10, 22,    NaN,  0, 8.1
1958, 10, 23,    NaN,  0, 8.1
1958, 10, 24,    NaN,  0, 8.1
1958, 10, 25,    NaN,  0, 8.1
1958, 10, 26,    NaN,  0, 8.1
1958, 10, 27,    NaN,  0, 8.1
1958, 10, 28,    NaN,  0, 8.1
1958, 10, 29,    NaN,  0, 8.1
1958, 10, 30,    NaN,  0, 8.1
1958, 10, 31,    NaN,  0, 8.1
1958, 11, 01,    NaN,  0, 8.1
1958, 11, 02,    NaN,  0, 8.1
1958, 11, 03,    NaN,  0, 8.1
1958, 11, 04,    NaN,  0, 8.1
1958, 11, 05,    NaN,  0, 8.1
1958, 11, 06,    NaN,  0, 8.1
1958, 11, 07, 313.32,  6, 8.1
1958, 11, 08, 313.32, 13, 8.1
1958, 11, 09, 313.15,  1, 8.1
1958, 11, 10,    NaN,  0, 8.1
1958, 11, 11,    NaN,  0, 8.1
1958, 11, 12, 313.48, 10, 8.1
1958, 11, 13, 313.11, 10, 8.1
1958, 11, 14, 313.07, 13, 8.1
1958, 11, 15, 313.31, 17, 8.1
1958, 11, 16, 313.46, 20, 8.1
1958, 11, 17, 313.35, 17, 8.1
1958, 11, 18, 313.44,  9, 8.1
1958, 11, 19, 313.14,  9, 8.1
1958, 11, 20, 313.17, 16, 8.1
1958, 11, 21, 313.92, 24, 8.1
1958, 11, 22, 313.71, 17, 8.1
1958, 11, 23, 314.01, 16, 8.1
1958, 11, 24, 313.98,  6, 8.1
1958, 11, 25,    NaN,  0, 8.1
1958, 11, 26, 314.40, 14, 8.1
1958, 11, 27, 313.91, 12, 8.1
1958, 11, 28, 314.26, 18, 8.1
1958, 11, 29, 313.74, 12, 8.1
1958, 11, 30, 313.84, 10, 8.1
1958, 12, 01, 314.30, 19, 8.1
1958, 12, 02, 314.22, 19, 8.1
1958, 12, 03, 314.43, 12, 8.1
1958, 12, 04, 314.44, 24, 8.1
1958, 12, 05, 314.55, 22, 8.1
1958, 12, 06, 314.24,  6, 8.1
1958, 12, 07, 314.84, 19, 8.1
1958, 12, 08, 314.62, 19, 8.1
1958, 12, 09, 314.36, 15, 8.1
1958, 12, 10, 313.86, 16, 8.1
1958, 12, 11, 314.29, 19, 8.1
1958, 12, 12, 314.53, 14, 8.1
1958, 12, 13, 314.52, 14, 8.1
1958, 12, 14, 314.67, 19, 8.1
1958, 12, 15, 314.68, 12, 8.1
1958, 12, 16, 314.33, 12, 8.1
1958, 12, 17, 314.53, 16, 8.1
1958, 12, 18, 315.08,  9, 8.1
1958, 12, 19, 314.79,  4, 8.1
1958, 12, 20, 315.01,  9, 8.1
1958, 12, 21, 314.91, 20, 8.1
1958, 12, 22, 314.76, 19, 8.1
1958, 12, 23, 314.86, 21, 8.1
1958, 12, 24, 315.10, 11, 8.1
1958, 12, 25, 315.11, 12, 8.1
1958, 12, 26, 315.58, 10, 8.1
1958, 12, 27, 315.56,  8, 8.1
1958, 12, 28,    NaN,  0, 8.1
1958, 12, 29, 315.04, 12, 8.1
1958, 12, 30, 315.26, 23, 8.1
1958, 12, 31, 315.44, 17, 8.1
1959, 01, 01, 315.23, 16, 8.1
1959, 01, 02,    NaN,  0, 8.1
1959, 01, 03,    NaN,  0, 8.1
1959, 01, 04, 315.34,  1, 8.1
1959, 01, 05, 315.02, 14, 8.1
1959, 01, 06, 315.58,  7, 8.1
1959, 01, 07, 315.14, 10, 8.1
1959, 01, 08, 315.43, 24, 8.1
1959, 01, 09, 315.70, 24, 8.1
1959, 01, 10, 315.58, 20, 8.1
1959, 01, 11, 315.68,  9, 8.1
1959, 01, 12, 315.52, 11, 8.1
1959, 01, 13, 315.28, 14, 8.1
1959, 01, 14, 315.90,  9, 8.1
1959, 01, 15, 316.17, 24, 8.1
1959, 01, 16, 316.03, 11, 8.1
1959, 01, 17, 315.55, 16, 8.1
1959, 01, 18, 315.44, 14, 8.1
1959, 01, 19, 315.04, 17, 8.1
1959, 01, 20, 315.69, 11, 8.1
1959, 01, 21, 315.77, 13, 8.1
1959, 01, 22, 315.88, 11, 8.1
1959, 01, 23, 315.59,  8, 8.1
1959, 01, 24, 316.01,  8, 8.1
1959, 01, 25, 315.86, 14, 8.1
1959, 01, 26, 315.80,  7, 8.1
1959, 01, 27,    NaN,  0, 8.1
1959, 01, 28, 315.41,  4, 8.1
1959, 01, 29, 315.56,  7, 8.1
1959, 01, 30,    NaN,  0, 8.1
1959, 01, 31,    NaN,  0, 8.1
1959, 02, 01,    NaN,  0, 8.1
1959, 02, 02,    NaN,  0, 8.1
1959, 02, 03,    NaN,  0, 8.1
1959, 02, 04,    NaN,  0, 8.1
1959, 02, 05,    NaN,  0, 8.1
1959, 02, 06,    NaN,  0, 8.1
1959, 02, 07,    NaN,  0, 8.1
1959, 02, 08,    NaN,  0, 8.1
1959, 02, 09,    NaN,  0, 8.1
1959, 02, 10,    NaN,  0, 8.1
1959, 02, 11,    NaN,  0, 8.1
1959, 02, 12,    NaN,  0, 8.1
1959, 02, 13,    NaN,  0, 8.1
1959, 02, 14,    NaN,  0, 8.1
1959, 02, 15,    NaN,  0, 8.1
1959, 02, 16,    NaN,  0, 8.1
1959, 02, 17, 316.94,  4, 8.1
1959, 02, 18, 316.73, 14, 8.1
1959, 02, 19, 316.42, 14, 8.1
1959, 02, 20, 316.20, 17, 8.1
1959, 02, 21,    NaN,  0, 8.1
1959, 02, 22, 316.81, 10, 8.1
1959, 02, 23, 317.17, 17, 8.1
1959, 02, 24, 316.83,  9, 8.1
1959, 02, 25,    NaN,  0, 8.1
1959, 02, 26, 316.56,  3, 8.1
1959, 02, 27, 316.41, 16, 8.1
1959, 02, 28, 316.48, 16, 8.1
1959, 03, 01, 316.95, 16, 8.1
1959, 03, 02, 316.66,  6, 8.1
1959, 03, 03, 316.78, 11, 8.1
1959, 03, 04, 316.78, 19, 8.1
1959, 03, 05, 316.92, 23, 8.1
1959, 03, 06, 316.65, 23, 8.1
1959, 03, 07, 316.58, 24, 8.1
1959, 03, 08, 316.76, 20, 8.1
1959, 03, 09, 317.33, 19, 8.1
1959, 03, 10, 316.68, 22, 8.1
1959, 03, 11,    NaN,  0, 8.1
1959, 03, 12,    NaN,  0, 8.1
1959, 03, 13,    NaN,  0, 8.1
1959, 03, 14,    NaN,  0, 8.1
1959, 03, 15,    NaN,  0, 8.1
1959, 03, 16,    NaN,  0, 8.1
1959, 03, 17,    NaN,  0, 8.1
1959, 03, 18,    NaN,  0, 8.1
1959, 03, 19,    NaN,  0, 8.1
1959, 03, 20,    NaN,  0, 8.1
1959, 03, 21, 316.97, 24, 8.1
1959, 03, 22, 317.10, 21, 8.1
1959, 03, 23, 317.05,  8, 8.1
1959, 03, 24, 316.38,  5, 8.1
1959, 03, 25, 316.53, 24, 8.1
1959, 03, 26, 316.62, 20, 8.1
1959, 03, 27, 316.46, 12, 8.1
1959, 03, 28, 317.09, 16, 8.1
1959, 03, 29, 317.03,  8, 8.1
1959, 03, 30, 316.37,  5, 8.1
1959, 03, 31,    NaN,  0, 8.1
1959, 04, 01,    NaN,  0, 8.1
1959, 04, 02, 318.15,  4, 8.1
1959, 04, 03, 318.16,  8, 8.1
1959, 04, 04,    NaN,  0, 8.1
1959, 04, 05, 317.08,  8, 8.1
