"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 4.2","SSP2-19","World","Emissions|N2O","kt N2O/yr",10629.11264,"",10726.14431,"",10333.50245,"",11226.98488,"",12013.01213,"",12231.9955,"",12441.3683,"",12624.11371,"",12545.66869,"",12280.81898
"GCAM 4.2","SSP5-19","World","Emissions|CH4","Mt CH4/yr",368.2888156,"",364.1441545,"",308.9697181,"",296.1525943,"",285.9355527,"",272.1494452,"",256.5094902,"",237.1462421,"",215.9899675,"",191.8524083
"GCAM 4.2","SSP5-19","World","Emissions|CO2","Mt CO2/yr",35775.47632,"",41975.99079,"",35675.42736,"",4907.91856,"",-8996.20726,"",-9657.794614,"",-9489.150381,"",-12164.53507,"",-18180.57947,"",-26395.10735
"GCAM 4.2","SSP5-19","World","Emissions|N2O","kt N2O/yr",10629.11272,"",10273.31845,"",9257.235515,"",9642.882098,"",9458.059935,"",8826.423486,"",8298.897581,"",7796.460412,"",7052.992604,"",6228.534668
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Emissions|CH4","Mt CH4/yr",350.5751038,352.2573853,362.791687,292.8286133,258.6679077,232.8972931,216.1535034,206.2848969,198.852005,192.9134979,186.9315948,183.800705,181.3162994,179.8088989,178.256897,175.7006989,172.7427063,169.2254944,166.1389008
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Emissions|CO2","Mt CO2/yr",35549.21062,37203.76172,38439.82943,29916.30111,25273.2985,17271.98014,8110.941488,2016.724182,-1286.622009,-5092.321452,-7549.40975,-9484.049968,-10157.14738,-10105.09522,-10019.79777,-9758.422446,-9734.669679,-9410.804363,-9816.3667
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Emissions|N2O","kt N2O/yr",10071.19287,10066.96121,10482.03167,9553.348839,9127.681987,9091.350374,9200.288432,9516.480117,9828.369556,9806.974188,9718.9082,9694.142854,9686.819752,9710.477885,9737.220561,9737.045617,9726.748463,9699.932126,9686.705424
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Concentration|CH4","ppb",1784.146118,1835.498657,1874.362671,1873.85376,1794.50769,1696.575317,1608.90625,1545.362915,1503.55835,1474.564575,1449.62915,1428.359985,1412.694336,1401.013062,1392.239014,1384.090942,1375.003052,1364.77063,1353.672852
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Concentration|CO2","ppm",389.1538696,400.2443237,411.6777649,421.7484741,428.3072205,432.384613,432.7172852,429.7448425,425.1748352,419.7900085,413.5993042,407.1507568,400.7634888,394.8881836,389.6306458,384.9048157,380.6389465,376.7399597,373.1236267
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Concentration|N2O","ppb",323.3224792,327.3676758,331.3497314,335.1553345,338.312439,341.1286926,343.8278503,346.5294495,349.3265076,352.1438599,354.8153687,357.3249512,359.7103271,361.9927673,364.190918,366.3048706,368.324585,370.2460632,372.0684814
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Temperature|Global Mean","°C",0.90703702,1.017528057,1.157364011,1.322008014,1.440927029,1.524937034,1.577113032,1.590613961,1.580103993,1.564668059,1.545804977,1.517976046,1.486673951,1.454241991,1.423588991,1.397209048,1.373846054,1.353240013,1.333631992
