"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.0.1","IMA15-AGInt","World","Forcing","W/m2",2.124062061,2.369601965,2.666831017,2.848973036,2.936903,2.952764034,2.915752888,2.841941118,2.740592957,"",2.532401085,"",2.355483055,"",2.18899107,"",2.079292059,"",1.979769945
"IMAGE 3.0.1","IMA15-AGInt","World","Forcing|CH4","W/m2",0.492769003,0.514506996,0.521815002,0.499366999,0.461044014,0.422564,0.391813993,0.368449986,0.350219011,"",0.329753011,"",0.315892011,"",0.302747011,"",0.291534007,"",0.280250013
"IMAGE 3.0.1","IMA15-AGInt","World","Forcing|CO2","W/m2",1.835054994,1.990381002,2.13715601,2.247555017,2.316555023,2.349514961,2.349581003,2.324902058,2.273490906,"",2.136426926,"",1.973049045,"",1.821164012,"",1.714215994,"",1.617184997
"IMAGE 3.0.1","IMA15-AGInt","World","Forcing|N2O","W/m2",0.167730004,0.180428997,0.192285001,0.201498002,0.208941996,0.215656996,0.221790999,0.227651,0.233494997,"",0.245924994,"",0.257961005,"",0.269006014,"",0.279141009,"",0.288134009
"IMAGE 3.0.1","IMA15-Def","World","Forcing","W/m2",2.098355055,2.343530893,2.646858931,2.83556509,2.942900896,2.952147007,2.876728058,2.787552118,2.732012033,"",2.543090105,"",2.341804981,"",2.17662096,"",2.060565948,"",1.95461297
"IMAGE 3.0.1","IMA15-Def","World","Forcing|CH4","W/m2",0.493901014,0.516548991,0.525611997,0.508511007,0.47685501,0.440304011,0.412377,0.397624999,0.386453003,"",0.356395006,"",0.340225995,"",0.331656009,"",0.323864013,"",0.314529985
"IMAGE 3.0.1","IMA15-Def","World","Forcing|CO2","W/m2",1.834867001,1.989825964,2.135900021,2.249555111,2.321599007,2.339653969,2.310048103,2.266973019,2.215126038,"",2.062222958,"",1.893036008,"",1.739348054,"",1.617107034,"",1.504335999
"IMAGE 3.0.1","IMA15-Def","World","Forcing|N2O","W/m2",0.167730004,0.180436,0.192507997,0.202489004,0.211183995,0.219533995,0.228132993,0.237560004,0.247315004,"",0.26494801,"",0.280907989,"",0.295758009,"",0.30952701,"",0.322135001
"IMAGE 3.0.1","IMA15-Eff","World","Forcing","W/m2",2.098967075,2.346832991,2.646559954,2.829368114,2.936031103,2.951148987,2.886729002,2.781764984,2.72461009,"",2.559501886,"",2.358581066,"",2.200373888,"",2.09306097,"",1.991253972
"IMAGE 3.0.1","IMA15-Eff","World","Forcing|CH4","W/m2",0.493900001,0.516373992,0.525075018,0.50780499,0.476235986,0.439729005,0.409738988,0.392421007,0.382750988,"",0.353601009,"",0.335934997,"",0.327479005,"",0.320345014,"",0.312036008
