"RCP_Region","RCP_Sector","X1850","X1860","X1870","X1880","X1890","X1900","X1910","X1920","X1930","X1940","X1950","X1960","X1970"
"Middle East","IND",0,0,0.107631601913395,0.215263203826791,0.325708703829425,0.34329556688717,0.394649207015783,0.446002847144397,0.49735648727301,0.909592557346537,1.14947736945417,2.23071771024429,3.34572482810528
"Middle East","International-shipping",0,0,0,0,0,0,0,0,0,0,0,0,0
"Middle East","SLV",0,0,0,0,0,0,0,0,0,0,0,0,0
"Middle East","TRA",0,0,0,0,0,0,0,0,0,0.0723291829323695,0.27521867064944,2.60568946309748,5.29780617020737
"Middle East","WST",102.047525162562,106.025423029309,110.751491630769,122.951859948331,135.092967217599,144.58955020674,154.130578982102,165.28647132348,176.590516285593,202.198696779711,223.384521544878,293.223666959558,397.456443277968
"New Zealand","AGR",440.707229958289,513.337751096666,478.216585536024,443.083109717562,406.890951726574,324.190639691384,448.905861666452,526.866724440917,563.526672229067,580.761033177157,649.046033305051,818.324388588751,1043.19586818786
"New Zealand","Aviation",0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand","DOM",0,0.731023135857703,0.894772318289829,1.05925252385781,1.22811886824094,1.69597367518987,2.47085819919904,2.81443907305216,2.52934005006765,2.97526416294085,3.90366354548013,4.5835150618278,3.31884503679397
"New Zealand","ENE",0,0,2.68612588908157,5.37225177816315,8.13932940636773,13.9972916192689,28.0681757286497,12.7167822913232,16.1903478246013,18.7660849785151,23.5790338318284,29.4811515387967,26.1694894837646
"New Zealand","Fossil-fuel-fires",0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand","IND",0,0,0.0240424721967313,0.0481681363387799,0.0729593360433679,0.102159708849779,0.153239563274668,0.175119044893146,0.153239563274668,0.167881345650532,0.218961200075421,0.248078380936514,0.277278753742925
"New Zealand","International-shipping",0,0,0,0,0,0,0,0,0,0,0,0.0199632899749584,0.039735668829174
"New Zealand","SLV",0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand","TRA",0,0,0,0,0,0,0,0,0,0.0449223857204858,0.166854575533233,0.795767975620034,4.11360703526162
"New Zealand","WST",11.5368737288436,13.463270487295,15.7076609690314,18.3284208333999,24.4394306460949,30.55044045879,36.661450271485,44.9845903331195,53.3092665963157,61.6324066579501,69.9570829211463,86.9705152176766,103.383292703557
"North Korea","AGR",2.75172201314703,2.75172201314703,37.2326333192214,71.7144618659668,107.239193055695,108.193123353586,109.990915068842,112.435361457188,119.323838896766,120.351148448341,127.157074227524,140.195650366486,136.930273577551
"North Korea","Aviation",0,0,0,0,0,0,0,0,0,0,0,0,0
"North Korea","DOM",29.7762243573587,30.5397172895987,31.466597709338,32.3942416220096,33.3493712802418,34.0594197072249,35.0595954484593,36.1208506242728,36.8003593339664,37.327169457212,37.747090569944,44.6643365360381,57.5673670908935
"North Korea","ENE",0,0,0,0,0,0,0,0,0,0,5.58258922730136,86.7162193307479,259.829652893541
"North Korea","Fossil-fuel-fires",0,0,0,0,0,0,0,0,0,0,0,0,0
"North Korea","IND",0,0,0.0696764051059981,0.137804445654085,0.209029215317994,0.360768941993279,0.650313114322649,0.777279008071356,0.975469671483973,1.42914048695192,1.83481200112462,3.53027119203723,5.37747010962514
"North Korea","International-shipping",0,0,0,0,0,0,0,0,0,0,0,0,0
"North Korea","SLV",0,0,0,0,0,0,0,0,0,0,0,0,0
"North Korea","TRA",0,0,0,0,0,0,0,0,0,0,0.0336385999460531,0.400059063644131,0.600689284750948
"North Korea","WST",27.4231221226389,27.4141040555732,27.4419780810491,27.5256001574769,27.7674483196945,28.0429092773389,28.3429649633445,34.0866538599427,40.7108340318686,48.6926432093278,58.2690106088658,65.3621302682103,85.0895618866575
"Northern Africa","AGR",151.137544128601,154.963811068565,155.365569097261,155.757761458608,156.169085154654,170.154090820224,202.237339111827,227.280256233895,300.648924807716,327.461490389518,1287.06054193058,622.973651830332,863.387569335655
"Northern Africa","Aviation",0,0,0,0,0,0,0,0,0,0,0,0,0
"Northern Africa","DOM",12.3228354671502,12.7477608280864,14.9943412113562,17.240496669265,19.5550651102846,21.8751575809963,25.3000559901422,29.4813215417545,34.0152751429439,39.3693346907402,45.4500166057374,55.1170685670363,67.3209249331243
"Northern Africa","ENE",0,0,0,0,0,0,0,7.63595950346304,17.2747936307852,115.04011120791,350.503059175353,783.624696584895,8370.38859209939
"Northern Africa","Fossil-fuel-fires",0,0,0,0,0,0,0,0,0,0,0,0,0
"Northern Africa","IND",0,0,0.0365755675660837,0.0738683031236592,0.111878206672727,0.161362798085663,0.248140125056175,0.297624716469112,0.35930116373741,0.508472105967712,0.669117736061884,1.06571163535687,1.63586018859288
"Northern Africa","International-shipping",0,0,0,0,0,0,0,0,0,0,0,0,0
"Northern Africa","SLV",0,0,0,0,0,0,0,0,0,0,0,0,0
"Northern Africa","TRA",0,0,0,0,0,0,0,0,0,0,0.0703738329041836,0.380018697682591,1.79922432791696
"Northern Africa","WST",88.0058794038863,90.3393720954153,100.849693940052,112.100952311595,133.460048488468,151.928577473952,168.284065253074,184.529784657839,201.232872289089,223.095073515096,254.552860132768,322.526925953043,412.436371915562
"Oceania","AGR",17.6533710013278,18.9143260728512,19.1929971436579,19.4716682144645,19.7591659707719,18.2460198849438,23.9203177067991,29.9602924993963,29.355034065065,34.361025699013,37.4629751749606,40.6027533030539,50.6651747738107
"Oceania","Aviation",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oceania","DOM",0.401031536706033,0.401031536706033,0.541392574553144,0.681553096631903,0.826124965614428,0.910341588322695,1.00458399944861,1.08880062215688,1.1369244065616,1.23918744842164,1.39358459005346,1.53996110095117,1.50988373569821
"Oceania","ENE",0,0,0,0,0,0,0,0,0,0,0,0,0.527112636002246
"Oceania","Fossil-fuel-fires",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oceania","IND",0,0,0,0,0,0,0,0,0,0,0,0,0.00349689955932773
"Oceania","International-shipping",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oceania","SLV",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oceania","TRA",0,0,0,0,0,0,0,0,0,0,0,0,0.255046097347919
"Oceania","WST",3.02974606785251,3.19842805079688,3.32902055372156,3.46614268179247,3.63482466473685,3.80894800196975,3.87533252428979,4.13760580099685,4.44232164115443,5.17363965753262,5.99419588424268,7.99770253327877,10.7042321563927
"Russia+","AGR",1685.86960302361,1926.34458790773,1887.79224906123,1849.36714565646,1809.66968783432,2077.24582180856,2070.12063707125,3107.21672267468,3386.37128184704,2961.65937732683,3424.16020804312,4533.27155367004,5479.77600475628
"Russia+","Aviation",0,0,0,0,0,0,0,0,0,0,0,0,0
"Russia+","DOM",24.6306857896272,31.3481455504346,36.0481282297462,40.7481109090578,45.5891602433463,54.4114240625401,66.9282907501779,73.6211198251957,147.802027963792,362.317387965416,559.228525087217,854.214574716807,1040.37777622132
"Russia+","ENE",8.72027664442549,8.72027664442549,74.8025330558819,140.881882708457,208.96689598925,562.661316687147,837.815112407586,233.903980433425,1478.46476988471,4701.39181489793,6278.01783221006,13903.609081872,22117.2376532564
"Russia+","Fossil-fuel-fires",0,0,0,0,0,0,0,0,0,0,0,0,0
"Russia+","IND",0,0,0.405520649388915,0.811913386195871,1.22964325943736,1.81306974210657,2.9136440636739,3.40114093035864,4.61168547534091,7.43201618528446,9.79877422910505,16.5033822990018,24.4960634853446
"Russia+","International-shipping",0,0,0,0,0,0,0,0,0,0,0,0,0
"Russia+","SLV",0,0,0,0,0,0,0,0,0,0,0,0,0
"Russia+","TRA",0,0,0.00509393034473352,0.010187860689467,0.0152817910342006,0.0152815363376833,0.0305635820684011,0.0458453731026017,0.140085631445344,0.812481889984996,3.20662915200975,18.7176470517233,35.0436938065943
"Russia+","WST",461.077167559453,526.542954558377,570.576306828204,653.427888082268,747.460004870766,837.433181366234,1032.7543081944,959.939379301282,1067.25530068515,1318.04861151804,1210.97868651557,1424.56504466237,1567.98093501605
"South Africa","AGR",17.1804983601066,48.6780786869686,51.3086038803272,53.9381746015546,56.6479209817959,66.7939597355699,79.8225043253174,156.619331994994,240.498342877559,180.194793633584,1331.20228126892,409.82169893772,570.211195850626
"South Africa","Aviation",0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa","DOM",2.8491557755955,8.5474673267865,10.1648380887329,11.7817339913833,13.4480152608108,15.5421447558734,18.6904618879065,21.6630810804444,24.7544150969656,29.4270305689422,35.0873533764586,43.1742071861905,50.7909502929491
"South Africa","ENE",0,0,0.27937624219925,0.558382939104586,0.846258723063867,6.65181529045834,48.5065152791979,73.3030045008509,82.0575325136819,117.193899059059,177.703245484595,256.179884100246,366.962172309891
"South Africa","Fossil-fuel-fires",0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa","IND",0,0,0.232172182154526,0.464344364309052,0.70461557607362,1.15276188116259,1.98696193099687,2.32712117461862,2.75636974395083,3.90913162511342,5.12668574315634,8.11522766926169,12.920651904553
"South Africa","International-shipping",0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa","SLV",0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa","TRA",0,0,0,0,0,0,0.00940937499689544,0.00940937499689544,0.00940937499689544,0.0376374999875818,0.180659999940392,0.777214374743563,3.28575374891589
"South Africa","WST",3.84666071268218,9.65445537201756,15.3133620448929,29.5182065030951,36.1111526535283,50.0566063228197,66.8739696684378,82.6642385449605,102.789706839737,124.635529290564,149.63242639233,192.519145617184,230.718219643335
